"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE9DCCA9ygAwIBAgISBLw9ORq8vIPt9orft6lfnvvkMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDA1MTMxNDQ1MDhaFw0yNDA4MTExNDQ1MDdaMCAxHjAcBgNVBAMTFWxlc2Jhc2VzLmFuY3QuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAM2XGV5C2TVibgQmlbUUj+k8zRkRXEjQ9yBkv92HYd5BZRgbSeq6xCQB4MYMJ3YP9IDAtzulBZb0tsEfFuDrpNPB4I00rCFLpIC+AqT0UvoWjOMvlLlC5IINKaU40foManXwmGmGIxk9A+p++GVH4yIaaYGASG2bV+YtYwcaFx+RH6lcc67KCSU+Ww+wTcyq2Fpl5MwO9DTlYmRvznPMhmDNIhSJeaWoS1ZJVCfQVcq085j9QHrWBR+qUSNWnRfIOFdlHcGdNGuqmTfIMQfl42ili48v+x5Ok7VY0ZE79xq+g/ypW6mF0Rcz0NeP2onEN8V6l3dhEMVA6wGT5lLj9W8CAwEAAaOCAhQwggIQMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU7Gwnd0dgPUd2KT92kVVZxsd29uUwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wIAYDVR0RBBkwF4IVbGVzYmFzZXMuYW5jdC5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAQYKKwYBBAHWeQIEAgSB8gSB7wDtAHUAPxdLT9ciR1iUHWUchL4NEu2QN38fhWrrwb8ohez4ZG4AAAGPcqEMagAABAMARjBEAiA9LYlNOjGiC9o18I+HEyApZcTu9iJNmIGc+p5ru7TCWAIgaPOebPH5NUCAU7yUNsDL7ano25/BLL9ryvT0ghyXI/IAdAAZmBBxCfDWUi4wgNKeP2S7g24ozPkPUo7u385KPxa0ygAAAY9yoQxtAAAEAwBFMEMCIDGzz3q+rVTdNlu2QhKnJMT1NG9NvfRx4tlNbzuAjmKVAh9jO73qfF8YWXGyukIen+O38PAeQfQA25QkvJm3itoZMA0GCSqGSIb3DQEBCwUAA4IBAQBYfvzuc/68SiKHfCCaBwRO+9JRHaq6myMRGIUMP/4QyY761k2tNC7gZVOjOmn/on9OUOqrC3cjQJIDsiQJSk+wI/fGP7PNkPTnOgk01AB50zHZhuySEpi//o0WsxQrN7FMNf9inBX/IK7USr1L0hVv06KoBkfwqF+79wvHNkLLLxrHkxF5EUHLBNJBRQsA+TBN3f+ZwP2O+k0G+fJCVMzRKLQE1FG0PEqV0J5kQrwQf+T3PLEUXMYiOaWtO1RHe9+wTfU44pq4Z5T90OSVmBW2u5uLATx+Rh/9gA/feOV8HqaQ2v7uc8hRshxooejwGQlIoo/6So5J8n8tdj0eIIui\n-----END CERTIFICATE-----","",""
"cert_commonName","lesbases.anct.gouv.fr/51.159.112.42","443","OK","lesbases.anct.gouv.fr","",""
"cert_commonName_wo_SNI","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","*.functions.fnc.fr-par.scw.cloud","",""
"cert_subjectAltName","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","lesbases.anct.gouv.fr","",""
"cert_trust","lesbases.anct.gouv.fr/51.159.112.42","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","lesbases.anct.gouv.fr/51.159.112.42","443","OK","passed.","",""
"cert_certificatePolicies_EV","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","no","",""
"cert_expirationStatus","lesbases.anct.gouv.fr/51.159.112.42","443","OK","77 >= 30 days","",""
"cert_notBefore","lesbases.anct.gouv.fr/51.159.112.42","443","INFO","2024-05-13 14:45","",""
"cert_notAfter","lesbases.anct.gouv.fr/51.159.112.42","443","OK","2024-08-11 14:45","",""
