"id","fqdn/ip","port","severity","finding","cve","cwe"
"Cache-Control","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","max-age=60, private, proxy-revalidate","",""
"banner_reverseproxy","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","--","","CWE-200"
"heartbleed","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","supported","","CWE-310"
"secure_client_renego","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","HIGH","VULNERABLE, DoS threat","CVE-2011-1473","CWE-310"
"CRIME_TLS","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=8F3AF269C285EBB544ACE90339FFFA86A2531D9FD2E8F7DB1D84B976DE132B2C","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","--","CVE-2015-4000","CWE-310"
"BEAST","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-android_81","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-android_90","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","admin.conseiller-numerique.gouv.fr/185.42.117.108","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
