"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFDzCCA/egAwIBAgISBNiw0oWUs4lvgCZaSGrjTc15MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzExMjcxMTI2MTBaFw0yNDAyMjUxMTI2MDlaMCwxKjAoBgNVBAMTIXYyLmxhYmFzZS5pbmN1YmF0ZXVyLmFuY3QuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANYu8j3TWOhiM2UR2kSWoZQ3+fubS+IbCE1/8KcmpbVNIp69Sj/TWSeUOROLqFGeNdtkc/gHMPaVuNth4+HSXDa7DUybpCbnEE0HeKJqsEolOxs0w0Wj/Lp464dMzElkyocVc0eUlZgU6BxTZ3iEDp2lqjU1qDkwTU7stV17YVeaf8HYvizjwbQtaLSidGZm3kSAge3FGidpin1eMwUyutY0pBQipFovmrXTw6ahymHMhsxEYHr+pag0Tq2qmf1MSfI8PbFnytJh9ZX0ao1Q5JtuuPLoyxeUp3bqjuuMk4m3i4HCu/VpBGKUBGbPNicOfhfr7+h999vuIitRTmdrhu0CAwEAAaOCAiMwggIfMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUKJZ10J/XhjXBshJOAI+8bODLiYswHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wLAYDVR0RBCUwI4IhdjIubGFiYXNlLmluY3ViYXRldXIuYW5jdC5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGMEL6HQQAABAMARzBFAiA4M8hYVKeg7l3TTtI/zII5uJpXMKasxjAaGENYKZIpPgIhAOSBZXQB+sBPxzduIUd39A6c2x0IMYDFhmxYvLFLZgUVAHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGMEL6HQQAABAMARzBFAiAvZuR44xDhQI1O/jcuSKahcYzivX0qSkvslI0em21CTwIhAJbxWuWWsVP/X90P3nKIS9gMybxbIEtU21HDg1xbMOnyMA0GCSqGSIb3DQEBCwUAA4IBAQCnNxA9CwkqrIruqP9hdKJ7NYx9eXyFd6ZE84edyi1s95aWS6tMiKXxPh/qVEdZnFM3HBjIcMvhQ+VTx/yBfluUSsBgldp5KcrcnG9tlk5M2zVdnBpp2aXPzGpX+2Pfw7Co54OOJaCfXlZ6ZmRCwQz3tHUJaaKZ/QkVlRG8bLqscnnc+ddcIO2zFO3IgEbeZVZtHPaW25HI4GDtTZExp9W3OWspugkXanbLxAOIoUllPFRXuzrd+hMFJF8947XiHozEcjwXB87TFuqooK2FARvPtsEoZggiS//8Cxrn6xzXPefHsASoX+VIpGPWbFD69aKaTxDzE2HG1vUhKDEH0b0K\n-----END CERTIFICATE-----","",""
"cert_commonName","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","v2.labase.incubateur.anct.gouv.fr","",""
"cert_commonName_wo_SNI","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","*.functions.fnc.fr-par.scw.cloud","",""
"cert_subjectAltName","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","v2.labase.incubateur.anct.gouv.fr","",""
"cert_trust","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","passed.","",""
"cert_certificatePolicies_EV","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","no","",""
"cert_expirationStatus","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","42 >= 30 days","",""
"cert_notBefore","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","2023-11-27 11:26","",""
"cert_notAfter","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","2024-02-25 11:26","",""
